n,detect_prob,lower,upper
0,0,0,0
1,0.0928,0.0872,0.0985
2,0.1805,0.173,0.1881
3,0.2591,0.2505,0.2677
4,0.333,0.3238,0.3423
5,0.4027,0.3931,0.4123
6,0.4542,0.4444,0.464
7,0.5088,0.499,0.5186
8,0.5651,0.5554,0.5748
9,0.6064,0.5968,0.616
10,0.6334,0.6239,0.6428
11,0.6741,0.6649,0.6833
12,0.7054,0.6964,0.7143
13,0.7417,0.7331,0.7503
14,0.7641,0.7558,0.7724
15,0.7816,0.7735,0.7897
16,0.7992,0.7913,0.807
17,0.8218,0.8143,0.8293
18,0.8426,0.8354,0.8497
19,0.8546,0.8477,0.8615
20,0.8752,0.8687,0.8816
21,0.881,0.8746,0.8873
22,0.8937,0.8876,0.8997
23,0.9032,0.8974,0.909
24,0.9127,0.9071,0.9182
25,0.9214,0.9161,0.9266
26,0.9299,0.9249,0.9349
27,0.9368,0.932,0.9415
28,0.9421,0.9375,0.9466
29,0.9496,0.9453,0.9538
30,0.9533,0.9491,0.9574
31,0.9575,0.9535,0.9614
32,0.9601,0.9562,0.9639
33,0.9663,0.9627,0.9698
34,0.9656,0.962,0.9691
35,0.9698,0.9664,0.9731
